City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,State Code,Race,Count
Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,4706.0,AL,Hispanic or Latino,2475
San Bernardino,California,28.5,108671.0,107466.0,216137,55135.0,CA,Hispanic or Latino,136214
West Covina,California,39.8,51629.0,56860.0,108489,37038.0,CA,American Indian and Alaska Native,518
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,22958.0,NE,American Indian and Alaska Native,4281
Mission Viejo,California,44.9,48849.0,48314.0,97163,17308.0,CA,White,81186
Folsom,California,40.9,41051.0,35317.0,76368,13234.0,CA,White,57435
Folsom,California,40.9,41051.0,35317.0,76368,13234.0,CA,Black or African-American,3985
Dale City,Virginia,33.4,35984.0,35415.0,71399,22306.0,VA,Asian,9251
Rockford,Illinois,36.3,71076.0,78270.0,149346,18323.0,IL,American Indian and Alaska Native,2301
Tampa,Florida,35.3,175517.0,193511.0,369028,58795.0,FL,American Indian and Alaska Native,2915
Racine,Wisconsin,33.7,39314.0,38423.0,77737,4403.0,WI,Asian,1175
Frederick,Maryland,36.1,33146.0,36336.0,69482,14211.0,MD,Black or African-American,13372
Champaign,Illinois,28.7,43326.0,42760.0,86086,12261.0,IL,Asian,11746
Marysville,Washington,33.2,33436.0,33337.0,66773,7721.0,WA,White,58894
Bayonne,New Jersey,39.7,32705.0,33598.0,66303,21899.0,NJ,Hispanic or Latino,19525
Homestead,Florida,31.4,31401.0,35099.0,66500,24408.0,FL,White,48820
Albuquerque,New Mexico,36.0,273323.0,285808.0,559131,58200.0,NM,White,411847
Palo Alto,California,40.2,31451.0,35397.0,66848,23348.0,CA,Black or African-American,1049
Pueblo,Colorado,37.6,55635.0,53784.0,109419,3578.0,CO,Asian,2468
Raleigh,North Carolina,32.8,219184.0,232765.0,451949,65125.0,NC,White,275892
Kansas City,Missouri,35.9,228430.0,246931.0,475361,37787.0,MO,Black or African-American,147739
Plano,Texas,38.1,138565.0,145054.0,283619,74030.0,TX,Hispanic or Latino,42959
Plano,Texas,38.1,138565.0,145054.0,283619,74030.0,TX,White,195220
Tyler,Texas,33.9,50422.0,53283.0,103705,8225.0,TX,White,72728
Tyler,Texas,33.9,50422.0,53283.0,103705,8225.0,TX,Black or African-American,26156
Hesperia,California,29.4,43588.0,49698.0,93286,16667.0,CA,White,78718
Temecula,California,34.2,54407.0,57619.0,112026,18884.0,CA,American Indian and Alaska Native,2236
Boynton Beach,Florida,45.8,33701.0,40271.0,73972,15431.0,FL,Asian,2114
Jackson,Tennessee,35.3,30007.0,36973.0,66980,2097.0,TN,American Indian and Alaska Native,564
San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,5757.0,AZ,Hispanic or Latino,18733
Tucson,Arizona,33.6,264893.0,266781.0,531674,82220.0,AZ,Black or African-American,33900
Westminster,California,42.9,45538.0,46573.0,92111,42227.0,CA,Hispanic or Latino,19111
Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,31880.0,FL,Black or African-American,29998
Lehigh Acres,Florida,34.3,57856.0,61624.0,119480,31880.0,FL,Asian,1853
Largo,Florida,45.1,38166.0,42841.0,81007,10489.0,FL,White,73502
Norwalk,Connecticut,42.4,40880.0,47603.0,88483,22328.0,CT,Black or African-American,15129
Pawtucket,Rhode Island,39.2,36072.0,35511.0,71583,17884.0,RI,American Indian and Alaska Native,1359
Indianapolis,Indiana,34.1,410615.0,437808.0,848423,72456.0,IN,Hispanic or Latino,83426
Flagstaff,Arizona,23.9,33224.0,37093.0,70317,4262.0,AZ,Hispanic or Latino,13606
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,34003.0,FL,Black or African-American,32986
Waukegan,Illinois,32.3,45514.0,42833.0,88347,30997.0,IL,White,65629
Town 'n' Country,Florida,38.1,39410.0,39586.0,78996,22135.0,FL,White,64441
Saint Cloud,Minnesota,30.7,34311.0,33942.0,68253,5757.0,MN,Black or African-American,6401
Fargo,North Dakota,30.7,60560.0,58690.0,119250,9428.0,ND,American Indian and Alaska Native,3102
Atascocita,Texas,32.8,37424.0,40816.0,78240,8657.0,TX,Asian,2441
Mesquite,Texas,34.6,69240.0,75884.0,145124,26755.0,TX,Asian,4496
Midland,Texas,32.1,66595.0,66355.0,132950,17061.0,TX,White,115958
Alexandria,Virginia,36.6,74989.0,78522.0,153511,44030.0,VA,Hispanic or Latino,25573
Alexandria,Virginia,36.6,74989.0,78522.0,153511,44030.0,VA,White,106215
Alexandria,Virginia,36.6,74989.0,78522.0,153511,44030.0,VA,Black or African-American,37168
Topeka,Kansas,37.1,60879.0,66378.0,127257,6711.0,KS,American Indian and Alaska Native,4804
Cary,North Carolina,39.9,78932.0,81582.0,160514,30008.0,NC,Black or African-American,15496
Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,NE,White,353417
Palm Bay,Florida,40.7,51767.0,56128.0,107895,12070.0,FL,Hispanic or Latino,16841
Manchester,New Hampshire,37.3,54845.0,55378.0,110223,14506.0,NH,Asian,4304
Olathe,Kansas,33.0,65046.0,69270.0,134316,11913.0,KS,Black or African-American,9518
Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,12934.0,SD,Black or African-American,10904
Portsmouth,Virginia,33.6,45900.0,50301.0,96201,1815.0,VA,White,43004
Vacaville,California,35.8,50091.0,46703.0,96794,10577.0,CA,Asian,9273
Chicago,Illinois,34.2,1320015.0,1400541.0,2720556,573463.0,IL,Black or African-American,873316
Charleston,South Carolina,35.0,63956.0,71568.0,135524,5767.0,SC,Hispanic or Latino,3929
Charleston,South Carolina,35.0,63956.0,71568.0,135524,5767.0,SC,White,104016
Redondo Beach,California,43.0,34855.0,33330.0,68185,13536.0,CA,Black or African-American,2234
Hollywood,Florida,41.4,75358.0,74363.0,149721,55158.0,FL,Black or African-American,34916
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,5715.0,NC,Black or African-American,22179
Knoxville,Tennessee,33.1,89978.0,95334.0,185312,10285.0,TN,Black or African-American,35049
Westland,Michigan,39.9,37742.0,44253.0,81995,6429.0,MI,Black or African-American,16422
Orlando,Florida,33.1,130940.0,139977.0,270917,50558.0,FL,White,179121
Jackson,Mississippi,31.7,79039.0,91772.0,170811,1789.0,MS,White,28775
Columbia,Missouri,26.8,56544.0,62554.0,119098,10729.0,MO,Asian,8673
Yuma,Arizona,33.4,48298.0,45847.0,94145,19326.0,AZ,White,69691
Roanoke,Virginia,36.9,47252.0,52645.0,99897,7346.0,VA,American Indian and Alaska Native,594
Redlands,California,36.2,33993.0,37035.0,71028,8681.0,CA,Black or African-American,6973
Brentwood,New York,34.2,31395.0,32397.0,63792,27058.0,NY,Hispanic or Latino,40111
Wyoming,Michigan,32.8,35967.0,39310.0,75277,8612.0,MI,White,58989
Lawton,Oklahoma,31.1,51099.0,45560.0,96659,6123.0,OK,Hispanic or Latino,13780
Reading,Pennsylvania,29.4,43668.0,44205.0,87873,17043.0,PA,Black or African-American,20821
Reading,Pennsylvania,29.4,43668.0,44205.0,87873,17043.0,PA,American Indian and Alaska Native,9671
Victoria,Texas,35.8,32290.0,35291.0,67581,4480.0,TX,Black or African-American,6058
Provo,Utah,23.6,56231.0,59027.0,115258,10925.0,UT,Hispanic or Latino,16668
Rialto,California,31.6,49902.0,53235.0,103137,32741.0,CA,White,74551
Rialto,California,31.6,49902.0,53235.0,103137,32741.0,CA,Black or African-American,11800
Pomona,California,32.1,74945.0,78307.0,153252,53879.0,CA,American Indian and Alaska Native,3866
Warner Robins,Georgia,31.4,35093.0,38909.0,74002,3210.0,GA,White,42306
Pleasanton,California,41.3,36662.0,42857.0,79519,23208.0,CA,Hispanic or Latino,7949
Norwalk,Connecticut,42.4,40880.0,47603.0,88483,22328.0,CT,Asian,2954
Cedar Park,Texas,34.4,31248.0,33589.0,64837,5207.0,TX,American Indian and Alaska Native,219
East Los Angeles,California,32.6,60460.0,59206.0,119666,49575.0,CA,Hispanic or Latino,116211
Montgomery,Alabama,35.4,94582.0,106004.0,200586,9337.0,AL,Hispanic or Latino,6648
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,34003.0,FL,White,135049
Brandon,Florida,36.1,55679.0,58289.0,113968,16390.0,FL,American Indian and Alaska Native,1921
New Britain,Connecticut,33.4,37350.0,35459.0,72809,15080.0,CT,Hispanic or Latino,30188
Fort Collins,Colorado,29.6,80893.0,80288.0,161181,9704.0,CO,White,150568
Simi Valley,California,39.0,63243.0,63523.0,126766,23260.0,CA,American Indian and Alaska Native,2474
Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,3732.0,NC,Asian,4204
Sandy,Utah,34.6,46923.0,46689.0,93612,6691.0,UT,Hispanic or Latino,6832
Sandy,Utah,34.6,46923.0,46689.0,93612,6691.0,UT,American Indian and Alaska Native,507
El Monte,California,37.3,57961.0,58784.0,116745,59655.0,CA,Hispanic or Latino,77523
Roswell,Georgia,38.8,48637.0,45859.0,94496,16501.0,GA,White,69857
Topeka,Kansas,37.1,60879.0,66378.0,127257,6711.0,KS,Black or African-American,15030
Nampa,Idaho,31.4,45651.0,44199.0,89850,6607.0,ID,Black or African-American,1600
Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,3755.0,MO,White,68293
Warren,Michigan,43.2,64063.0,71293.0,135356,18822.0,MI,White,96357
Troy,Michigan,43.3,42371.0,40905.0,83276,21004.0,MI,Black or African-American,5294
Portsmouth,Virginia,33.6,45900.0,50301.0,96201,1815.0,VA,Hispanic or Latino,3896
Davenport,Iowa,35.2,50123.0,52454.0,102577,4065.0,IA,White,88145
Davenport,Iowa,35.2,50123.0,52454.0,102577,4065.0,IA,Asian,3071
Arden-Arcade,California,41.5,47596.0,48680.0,96276,13458.0,CA,Black or African-American,13647
Largo,Florida,45.1,38166.0,42841.0,81007,10489.0,FL,Black or African-American,5860
Austin,Texas,32.7,475718.0,456122.0,931840,181686.0,TX,White,708171
Concord,California,39.6,62310.0,66358.0,128668,37428.0,CA,Asian,17453
Wichita Falls,Texas,34.0,55775.0,48934.0,104709,9855.0,TX,Hispanic or Latino,23061
Fremont,California,38.3,114383.0,117808.0,232191,109427.0,CA,White,67294
Thornton,Colorado,33.1,65482.0,67977.0,133459,17949.0,CO,Hispanic or Latino,49241
Dearborn,Michigan,33.5,46482.0,48698.0,95180,23920.0,MI,American Indian and Alaska Native,713
Cranston,Rhode Island,39.9,38365.0,42712.0,81077,10631.0,RI,Black or African-American,8193
Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,7443.0,WI,Black or African-American,11915
Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,7443.0,WI,American Indian and Alaska Native,1264
Gary,Indiana,38.1,35876.0,41478.0,77354,1884.0,IN,White,13498
San Buenaventura,California,37.7,53932.0,55785.0,109717,18025.0,CA,Asian,6547
Palm Coast,Florida,48.8,39489.0,42632.0,82121,9084.0,FL,Asian,2479
Hialeah,Florida,43.0,111530.0,125552.0,237082,170148.0,FL,White,219991
Scottsdale,Arizona,46.9,115712.0,121132.0,236844,27207.0,AZ,Hispanic or Latino,24766
Fresno,California,30.0,256130.0,263942.0,520072,103453.0,CA,White,325651
Clifton,New Jersey,38.5,41932.0,44409.0,86341,27979.0,NJ,Black or African-American,8743
Denver,Colorado,34.1,341137.0,341408.0,682545,113222.0,CO,American Indian and Alaska Native,14008
Roanoke,Virginia,36.9,47252.0,52645.0,99897,7346.0,VA,White,68761
Bellflower,California,33.4,38936.0,39498.0,78434,24607.0,CA,American Indian and Alaska Native,783
Broomfield,Colorado,36.8,31755.0,33310.0,65065,5316.0,CO,American Indian and Alaska Native,601
Joliet,Illinois,33.1,70863.0,79162.0,150025,22409.0,IL,American Indian and Alaska Native,523
Riverside,California,31.4,160613.0,161810.0,322423,69584.0,CA,Hispanic or Latino,160697
Menifee,California,37.1,42866.0,44297.0,87163,12481.0,CA,Hispanic or Latino,29790
Pomona,California,32.1,74945.0,78307.0,153252,53879.0,CA,Black or African-American,10774
Bloomington,Illinois,35.1,37972.0,40323.0,78295,7287.0,IL,Hispanic or Latino,3461
Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,70769.0,MN,Black or African-American,89996
Glendale,California,42.1,98181.0,102844.0,201025,111510.0,CA,Black or African-American,4619
Carson,California,40.4,43790.0,49506.0,93296,33860.0,CA,Black or African-American,19947
San Marcos,California,35.4,45246.0,47688.0,92934,21558.0,CA,American Indian and Alaska Native,821
Portland,Oregon,36.7,313516.0,318671.0,632187,86041.0,OR,American Indian and Alaska Native,15314
Des Moines,Iowa,34.5,103726.0,106591.0,210317,23857.0,IA,American Indian and Alaska Native,3964
San Francisco,California,38.3,439752.0,425064.0,864816,297199.0,CA,Hispanic or Latino,132114
Auburn,Washington,37.1,36837.0,39743.0,76580,14842.0,WA,White,58293
Camarillo,California,40.8,31941.0,35682.0,67623,9735.0,CA,American Indian and Alaska Native,742
Centreville,Virginia,36.0,34749.0,37033.0,71782,27797.0,VA,American Indian and Alaska Native,355
Santa Clarita,California,38.1,90192.0,92175.0,182367,40666.0,CA,Hispanic or Latino,56944
Santa Clarita,California,38.1,90192.0,92175.0,182367,40666.0,CA,White,144949
Santa Clarita,California,38.1,90192.0,92175.0,182367,40666.0,CA,American Indian and Alaska Native,4441
Greeley,Colorado,31.0,50792.0,50091.0,100883,11480.0,CO,Asian,2202
San Clemente,California,45.2,34076.0,31456.0,65532,8109.0,CA,Asian,4296
Skokie,Illinois,43.4,31382.0,33437.0,64819,27424.0,IL,Hispanic or Latino,6590
Billings,Montana,36.3,52705.0,57565.0,110270,3206.0,MT,Hispanic or Latino,7526
West Jordan,Utah,30.8,57898.0,54044.0,111942,11492.0,UT,White,100150
Orange,California,35.0,67337.0,73658.0,140995,34550.0,CA,Asian,22457
Downey,California,37.3,53006.0,61205.0,114211,39977.0,CA,American Indian and Alaska Native,535
Redwood City,California,37.1,42676.0,42624.0,85300,27652.0,CA,Black or African-American,2758
Hoover,Alabama,38.5,38040.0,46799.0,84839,8229.0,AL,Black or African-American,18191
Grand Prairie,Texas,33.1,90811.0,96944.0,187755,44888.0,TX,White,113981
Everett,Washington,37.0,56212.0,51800.0,108012,19499.0,WA,Black or African-American,8304
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,4982.0,WI,Hispanic or Latino,9713
Waterloo,Iowa,37.2,34488.0,33969.0,68457,5082.0,IA,White,51252
Kissimmee,Florida,36.7,33283.0,35869.0,69152,16879.0,FL,White,51123
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,49815.0,NV,Hispanic or Latino,94804
West Covina,California,39.8,51629.0,56860.0,108489,37038.0,CA,Hispanic or Latino,58907
