City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,State Code,Race,Count
Silver Spring,Maryland,33.8,40601.0,41862.0,82463,30908.0,MD,Hispanic or Latino,25924
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,32935.0,MA,White,58723
Hoover,Alabama,38.5,38040.0,46799.0,84839,8229.0,AL,Asian,4759
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,33878.0,CA,Black or African-American,24437
Newark,New Jersey,34.6,138040.0,143873.0,281913,86253.0,NJ,White,76402
Peoria,Illinois,33.1,56229.0,62432.0,118661,7517.0,IL,American Indian and Alaska Native,1343
Avondale,Arizona,29.1,38712.0,41971.0,80683,8355.0,AZ,Black or African-American,11592
West Covina,California,39.8,51629.0,56860.0,108489,37038.0,CA,Asian,32716
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,3269.0,MO,Hispanic or Latino,2583
High Point,North Carolina,35.5,51751.0,58077.0,109828,16315.0,NC,Asian,11060
Folsom,California,40.9,41051.0,35317.0,76368,13234.0,CA,Hispanic or Latino,5822
Folsom,California,40.9,41051.0,35317.0,76368,13234.0,CA,American Indian and Alaska Native,998
Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,205339.0,PA,Asian,122721
Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,KS,Hispanic or Latino,65162
Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,KS,American Indian and Alaska Native,8791
Fort Myers,Florida,37.3,36850.0,37165.0,74015,15365.0,FL,White,50169
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,28187.0,PA,White,208863
Laredo,Texas,28.8,124305.0,131484.0,255789,68427.0,TX,American Indian and Alaska Native,1253
Berkeley,California,32.5,60142.0,60829.0,120971,25000.0,CA,Asian,27089
Santa Clara,California,35.2,63278.0,62938.0,126216,52281.0,CA,White,55847
Allen,Pennsylvania,33.5,60626.0,59581.0,120207,19652.0,PA,Black or African-American,22304
Hampton,Virginia,35.5,66214.0,70240.0,136454,6204.0,VA,Black or African-American,70303
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,15212.0,IL,American Indian and Alaska Native,323
Frederick,Maryland,36.1,33146.0,36336.0,69482,14211.0,MD,White,49181
Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,NV,Hispanic or Latino,29159
Rancho Cordova,California,33.8,34844.0,36182.0,71026,17020.0,CA,Asian,12653
Westminster,Colorado,37.8,54866.0,58251.0,113117,11361.0,CO,Hispanic or Latino,23355
Lakewood,Colorado,37.7,76013.0,76576.0,152589,14169.0,CO,Hispanic or Latino,33630
Flint,Michigan,35.3,48984.0,49313.0,98297,2138.0,MI,White,44786
New Haven,Connecticut,29.9,63765.0,66545.0,130310,25871.0,CT,American Indian and Alaska Native,2205
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,17490.0,MN,White,41760
Chula Vista,California,34.6,131485.0,134269.0,265754,82710.0,CA,Hispanic or Latino,156522
Danbury,Connecticut,37.3,43435.0,41227.0,84662,25675.0,CT,Black or African-American,8454
Framingham,Massachusetts,40.3,35442.0,35768.0,71210,19070.0,MA,Black or African-American,6944
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,28567.0,FL,White,179121
Miami Gardens,Florida,34.9,50719.0,62480.0,113199,33394.0,FL,Black or African-American,85300
Salt Lake City,Utah,32.1,98364.0,94296.0,192660,32166.0,UT,Asian,13153
Suffolk,Virginia,38.2,43048.0,45113.0,88161,2829.0,VA,Black or African-American,39107
North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,2787.0,AR,Hispanic or Latino,4860
Jurupa Valley,California,33.8,49430.0,50884.0,100314,25338.0,CA,White,58201
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,1485425.0,CA,White,2177650
Flower Mound,Texas,40.2,35200.0,35824.0,71024,6860.0,TX,Hispanic or Latino,6149
Vacaville,California,35.8,50091.0,46703.0,96794,10577.0,CA,Black or African-American,18023
Clarksville,Tennessee,29.7,75029.0,74161.0,149190,8211.0,TN,American Indian and Alaska Native,2338
New Britain,Connecticut,33.4,37350.0,35459.0,72809,15080.0,CT,White,56431
Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,43751.0,OK,Black or African-American,72643
Seattle,Washington,35.5,345659.0,338784.0,684443,119840.0,WA,Hispanic or Latino,43060
Mesa,Arizona,36.9,234998.0,236835.0,471833,57492.0,AZ,American Indian and Alaska Native,16044
Yonkers,New York,38.0,96580.0,104538.0,201118,61247.0,NY,Hispanic or Latino,73608
Camden,New Jersey,27.9,36437.0,39694.0,76131,11317.0,NJ,White,19907
Alexandria,Virginia,36.6,74989.0,78522.0,153511,44030.0,VA,American Indian and Alaska Native,1133
Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3222.0,AR,Black or African-American,14599
El Monte,California,37.3,57961.0,58784.0,116745,59655.0,CA,Black or African-American,307
Roswell,Georgia,38.8,48637.0,45859.0,94496,16501.0,GA,Asian,7240
Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,NE,Hispanic or Latino,63516
Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,NE,Black or African-American,64223
Troy,Michigan,43.3,42371.0,40905.0,83276,21004.0,MI,American Indian and Alaska Native,1677
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,24302.0,NC,American Indian and Alaska Native,1415
Corpus Christi,Texas,35.0,160488.0,163594.0,324082,30834.0,TX,White,292663
Atlanta,Georgia,33.8,223960.0,239915.0,463875,32016.0,GA,American Indian and Alaska Native,4606
Bryan,Texas,29.4,41761.0,40345.0,82106,12014.0,TX,Black or African-American,11914
Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4364.0,VA,Black or African-American,23271
Columbia,Maryland,37.9,52202.0,51265.0,103467,23249.0,MD,Black or African-American,30075
Killeen,Texas,29.2,69442.0,71367.0,140809,15769.0,TX,American Indian and Alaska Native,2362
Nashville,Tennessee,34.1,314231.0,340365.0,654596,88193.0,TN,Hispanic or Latino,67526
Somerville,Massachusetts,31.0,41028.0,39306.0,80334,22292.0,MA,Asian,9498
Bakersfield,California,30.6,182154.0,191473.0,373627,71575.0,CA,American Indian and Alaska Native,7357
Montgomery,Alabama,35.4,94582.0,106004.0,200586,9337.0,AL,White,73545
Huntsville,Alabama,38.1,91764.0,97350.0,189114,12691.0,AL,American Indian and Alaska Native,1755
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,26667.0,NC,Black or African-American,124108
Turlock,California,36.2,33190.0,39103.0,72293,14686.0,CA,Asian,5232
Lynwood,California,29.4,35634.0,36371.0,72005,28061.0,CA,Asian,994
El Paso,Texas,33.1,332797.0,348339.0,681136,159709.0,TX,American Indian and Alaska Native,7359
Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,28613.0,KY,American Indian and Alaska Native,3187
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,2413.0,SC,Hispanic or Latino,2845
Richardson,Texas,35.5,54676.0,56151.0,110827,29579.0,TX,Black or African-American,13256
Waco,Texas,29.3,63452.0,68890.0,132342,14235.0,TX,Black or African-American,29883
Waco,Texas,29.3,63452.0,68890.0,132342,14235.0,TX,Asian,4230
San Buenaventura,California,37.7,53932.0,55785.0,109717,18025.0,CA,American Indian and Alaska Native,2808
Stamford,Connecticut,35.4,64941.0,63936.0,128877,44003.0,CT,Asian,11013
Vallejo,California,37.8,58379.0,62890.0,121269,30592.0,CA,American Indian and Alaska Native,1671
Denver,Colorado,34.1,341137.0,341408.0,682545,113222.0,CO,Black or African-American,72288
Springdale,Arkansas,31.8,36840.0,43614.0,80454,19969.0,AR,American Indian and Alaska Native,547
Chino,California,36.5,50989.0,34610.0,85599,18666.0,CA,American Indian and Alaska Native,4790
Toms River,New Jersey,43.7,43864.0,43886.0,87750,6852.0,NJ,White,79538
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,29899.0,MA,Black or African-American,18240
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,29899.0,MA,Asian,9205
Lawton,Oklahoma,31.1,51099.0,45560.0,96659,6123.0,OK,Black or African-American,25767
Garland,Texas,34.5,116406.0,120430.0,236836,62975.0,TX,Hispanic or Latino,90989
Garland,Texas,34.5,116406.0,120430.0,236836,62975.0,TX,Asian,27217
Layton,Utah,29.5,37748.0,36394.0,74142,4268.0,UT,Asian,2889
Bloomington,Illinois,35.1,37972.0,40323.0,78295,7287.0,IL,Asian,6549
Newton,Massachusetts,42.3,41985.0,46824.0,88809,21692.0,MA,Black or African-American,2925
Clearwater,Florida,47.0,55225.0,57754.0,112979,17686.0,FL,White,97195
Clearwater,Florida,47.0,55225.0,57754.0,112979,17686.0,FL,Asian,2434
Clearwater,Florida,47.0,55225.0,57754.0,112979,17686.0,FL,American Indian and Alaska Native,867
Kenner,Louisiana,36.9,33993.0,33113.0,67106,12352.0,LA,Black or African-American,17172
Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,11888.0,NM,Asian,3266
Yakima,Washington,34.0,45147.0,48553.0,93700,15717.0,WA,Hispanic or Latino,44172
Des Moines,Iowa,34.5,103726.0,106591.0,210317,23857.0,IA,Asian,15205
Wichita Falls,Texas,34.0,55775.0,48934.0,104709,9855.0,TX,American Indian and Alaska Native,1503
Huntsville,Alabama,38.1,91764.0,97350.0,189114,12691.0,AL,Hispanic or Latino,10887
Wilmington,North Carolina,35.5,52346.0,63601.0,115947,7401.0,NC,Asian,3152
Cranston,Rhode Island,39.9,38365.0,42712.0,81077,10631.0,RI,Asian,5978
Amarillo,Texas,33.8,99391.0,100260.0,199651,21124.0,TX,White,174214
El Paso,Texas,33.1,332797.0,348339.0,681136,159709.0,TX,Asian,12370
Buffalo,New York,33.1,124537.0,133529.0,258066,24630.0,NY,Asian,14518
Livonia,Michigan,47.4,45369.0,49264.0,94633,7175.0,MI,White,87383
San Leandro,California,41.8,43032.0,47679.0,90711,34293.0,CA,Hispanic or Latino,26894
Fresno,California,30.0,256130.0,263942.0,520072,103453.0,CA,American Indian and Alaska Native,11380
Saint George,Utah,37.3,38732.0,41475.0,80207,4824.0,UT,Black or African-American,1376
Redlands,California,36.2,33993.0,37035.0,71028,8681.0,CA,White,55241
Chino,California,36.5,50989.0,34610.0,85599,18666.0,CA,Hispanic or Latino,45495
Chino,California,36.5,50989.0,34610.0,85599,18666.0,CA,White,44543
Thousand Oaks,California,44.8,65113.0,64216.0,129329,25330.0,CA,White,108375
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,5200.0,NM,American Indian and Alaska Native,4857
Provo,Utah,23.6,56231.0,59027.0,115258,10925.0,UT,White,108471
Provo,Utah,23.6,56231.0,59027.0,115258,10925.0,UT,American Indian and Alaska Native,1916
Newton,Massachusetts,42.3,41985.0,46824.0,88809,21692.0,MA,Hispanic or Latino,4790
Tallahassee,Florida,26.2,89390.0,100504.0,189894,16720.0,FL,Hispanic or Latino,13538
Aurora,Illinois,31.7,101964.0,101751.0,203715,50980.0,IL,Asian,17190
Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,70769.0,MN,Hispanic or Latino,39981
Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,11888.0,NM,White,91201
Anaheim,California,33.6,179603.0,171135.0,350738,137133.0,CA,Hispanic or Latino,201593
San Marcos,California,35.4,45246.0,47688.0,92934,21558.0,CA,Black or African-American,4447
Norwalk,California,35.0,53125.0,54020.0,107145,39396.0,CA,White,46998
Fort Worth,Texas,32.6,414126.0,422843.0,836969,143404.0,TX,White,575180
Fort Worth,Texas,32.6,414126.0,422843.0,836969,143404.0,TX,American Indian and Alaska Native,7504
Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,27757.0,MA,Asian,18441
Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,23642.0,FL,White,53037
Beaumont,Texas,31.6,57326.0,60784.0,118110,10516.0,TX,American Indian and Alaska Native,908
Spring Valley,Nevada,37.0,96808.0,97147.0,193955,61072.0,NV,Black or African-American,29031
Spring Valley,Nevada,37.0,96808.0,97147.0,193955,61072.0,NV,Asian,45059
Sioux City,Iowa,34.3,38827.0,43949.0,82776,7471.0,IA,White,70513
Alafaya,Florida,33.5,39504.0,45760.0,85264,15842.0,FL,White,63666
Washington,District of Columbia,33.8,319705.0,352523.0,672228,95117.0,DC,Black or African-American,328786
Grand Prairie,Texas,33.1,90811.0,96944.0,187755,44888.0,TX,Black or African-American,54934
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,4982.0,WI,White,66757
Miami Beach,Florida,42.5,48090.0,44221.0,92311,49908.0,FL,Asian,2772
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,49815.0,NV,American Indian and Alaska Native,4739
Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,13177.0,AR,White,66004
Avondale,Arizona,29.1,38712.0,41971.0,80683,8355.0,AZ,Asian,2828
Salinas,California,30.4,77765.0,79621.0,157386,58693.0,CA,Asian,11227
Springfield,Illinois,38.8,55639.0,62170.0,117809,4264.0,IL,Asian,3871
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,3269.0,MO,Black or African-American,5136
High Point,North Carolina,35.5,51751.0,58077.0,109828,16315.0,NC,Black or African-American,39369
Bellingham,Washington,30.7,41286.0,43857.0,85143,8713.0,WA,American Indian and Alaska Native,2056
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,9813.0,WI,Black or African-American,7561
Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,7645.0,MN,White,59683
Laredo,Texas,28.8,124305.0,131484.0,255789,68427.0,TX,White,246442
Escondido,California,33.3,76551.0,74907.0,151458,46298.0,CA,American Indian and Alaska Native,3151
Rockford,Illinois,36.3,71076.0,78270.0,149346,18323.0,IL,Hispanic or Latino,28923
Memphis,Tennessee,34.1,312237.0,343523.0,655760,43318.0,TN,Asian,15778
Hampton,Virginia,35.5,66214.0,70240.0,136454,6204.0,VA,Hispanic or Latino,7513
Metairie,Louisiana,41.6,69515.0,76943.0,146458,19871.0,LA,White,124270
Tracy,California,35.5,43156.0,43937.0,87093,25410.0,CA,American Indian and Alaska Native,2120
Champaign,Illinois,28.7,43326.0,42760.0,86086,12261.0,IL,White,58099
West Palm Beach,Florida,39.6,49262.0,57520.0,106782,30675.0,FL,White,60648
Beaverton,Oregon,35.6,47325.0,49252.0,96577,18933.0,OR,Black or African-American,3100
Ogden,Utah,31.3,44323.0,41127.0,85450,12791.0,UT,White,74960
Decatur,Illinois,40.4,34646.0,38210.0,72856,1224.0,IL,Hispanic or Latino,1709
Flint,Michigan,35.3,48984.0,49313.0,98297,2138.0,MI,Hispanic or Latino,2525
Flint,Michigan,35.3,48984.0,49313.0,98297,2138.0,MI,Black or African-American,55137
Flint,Michigan,35.3,48984.0,49313.0,98297,2138.0,MI,Asian,657
Danbury,Connecticut,37.3,43435.0,41227.0,84662,25675.0,CT,Hispanic or Latino,25145
Framingham,Massachusetts,40.3,35442.0,35768.0,71210,19070.0,MA,Hispanic or Latino,13000
Pompano Beach,Florida,42.5,56569.0,51202.0,107771,32733.0,FL,Black or African-American,38653
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,12693.0,NH,Hispanic or Latino,10511
Vancouver,Washington,37.2,82958.0,89895.0,172853,21748.0,WA,Hispanic or Latino,23184
Nashville,Tennessee,34.1,314231.0,340365.0,654596,88193.0,TN,Asian,27355
Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,43751.0,OK,Hispanic or Latino,61217
Seattle,Washington,35.5,345659.0,338784.0,684443,119840.0,WA,White,511401
Fargo,North Dakota,30.7,60560.0,58690.0,119250,9428.0,ND,Asian,4646
El Cajon,California,32.7,54450.0,49238.0,103688,31865.0,CA,Black or African-American,7534
Lancaster,California,30.9,80668.0,80445.0,161113,17247.0,CA,Asian,8654
Wilmington,Delaware,36.4,32680.0,39277.0,71957,3336.0,DE,Asian,1193
Wilmington,Delaware,36.4,32680.0,39277.0,71957,3336.0,DE,American Indian and Alaska Native,414
Miramar,Florida,36.6,66157.0,70958.0,137115,57179.0,FL,Black or African-American,65840
Riverview,Florida,32.2,44210.0,45536.0,89746,12240.0,FL,American Indian and Alaska Native,726
Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,14630.0,IL,Asian,9975
Lorain,Ohio,35.6,30844.0,32807.0,63651,1531.0,OH,American Indian and Alaska Native,904
Mesquite,Texas,34.6,69240.0,75884.0,145124,26755.0,TX,White,98597
Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4454.0,WI,Black or African-American,3407
Johns Creek,Georgia,39.0,40282.0,43057.0,83339,29000.0,GA,Asian,24289
Nampa,Idaho,31.4,45651.0,44199.0,89850,6607.0,ID,American Indian and Alaska Native,2167
Omaha,Nebraska,34.2,218789.0,225098.0,443887,48263.0,NE,Asian,19105
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,34313.0,MI,Black or African-American,8054
Tacoma,Washington,37.7,100914.0,107036.0,207950,31863.0,WA,Black or African-American,30914
Manchester,New Hampshire,37.3,54845.0,55378.0,110223,14506.0,NH,Hispanic or Latino,11962
Overland Park,Kansas,38.2,93355.0,93156.0,186511,21407.0,KS,White,161153
Cicero,Illinois,28.5,43153.0,40714.0,83867,33801.0,IL,Asian,1193
Weston,Florida,38.6,32956.0,36991.0,69947,30876.0,FL,Black or African-American,3697
Meridian,Idaho,38.0,43353.0,47400.0,90753,8110.0,ID,Asian,2693
Meridian,Idaho,38.0,43353.0,47400.0,90753,8110.0,ID,American Indian and Alaska Native,492
Salt Lake City,Utah,32.1,98364.0,94296.0,192660,32166.0,UT,American Indian and Alaska Native,3488
Trenton,New Jersey,33.3,42581.0,41650.0,84231,20428.0,NJ,Asian,1437
Temecula,California,34.2,54407.0,57619.0,112026,18884.0,CA,Black or African-American,5698
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,5274.0,MO,White,58662
Antioch,California,34.0,54733.0,55809.0,110542,24942.0,CA,White,51151
Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,43751.0,OK,White,279127
Eugene,Oregon,33.4,79071.0,84377.0,163448,14503.0,OR,Asian,11073
Edinburg,Texas,29.3,39422.0,45079.0,84501,16569.0,TX,Hispanic or Latino,74698
Huntington Beach,California,41.6,99967.0,101960.0,201927,35368.0,CA,Hispanic or Latino,42303
Torrance,California,41.2,73209.0,75259.0,148468,43096.0,CA,Black or African-American,5906
Fargo,North Dakota,30.7,60560.0,58690.0,119250,9428.0,ND,Hispanic or Latino,3567
South Bend,Indiana,32.4,50483.0,53274.0,103757,8779.0,IN,Asian,1788
Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,6295.0,PA,White,64526
El Cajon,California,32.7,54450.0,49238.0,103688,31865.0,CA,American Indian and Alaska Native,1891
Lakewood,California,39.9,41523.0,40069.0,81592,18274.0,CA,Hispanic or Latino,24987
Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4454.0,WI,American Indian and Alaska Native,835
Birmingham,Alabama,35.6,102122.0,112789.0,214911,8258.0,AL,Asian,1500
Hawthorne,California,33.7,43682.0,44762.0,88444,32107.0,CA,American Indian and Alaska Native,906
Boca Raton,Florida,47.3,44760.0,48466.0,93226,21117.0,FL,White,80781
Vista,California,29.3,50680.0,50204.0,100884,23271.0,CA,Black or African-American,5164
Brockton,Massachusetts,35.2,46273.0,49041.0,95314,27313.0,MA,American Indian and Alaska Native,881
New Rochelle,New York,40.6,38871.0,40967.0,79838,26960.0,NY,White,44435
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,26667.0,NC,Hispanic or Latino,22147
Dearborn,Michigan,33.5,46482.0,48698.0,95180,23920.0,MI,White,88742
Charleston,South Carolina,35.0,63956.0,71568.0,135524,5767.0,SC,Asian,2773
Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,63413.0,NJ,Black or African-American,29822
Syracuse,New York,30.3,69462.0,74690.0,144152,17733.0,NY,Asian,9386
San Buenaventura,California,37.7,53932.0,55785.0,109717,18025.0,CA,Hispanic or Latino,38463
Redding,California,38.8,42530.0,49049.0,91579,5181.0,CA,Asian,5271
Buffalo,New York,33.1,124537.0,133529.0,258066,24630.0,NY,Hispanic or Latino,29656
Scottsdale,Arizona,46.9,115712.0,121132.0,236844,27207.0,AZ,Asian,11555
Glendale,Arizona,34.4,116795.0,123319.0,240114,44133.0,AZ,White,202539
Saint George,Utah,37.3,38732.0,41475.0,80207,4824.0,UT,Hispanic or Latino,10829
Fishers,Indiana,34.5,42161.0,43910.0,86071,6138.0,IN,Hispanic or Latino,3409
Waldorf,Maryland,33.6,35640.0,39872.0,75512,5954.0,MD,Hispanic or Latino,4810
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,5200.0,NM,White,73022
Las Vegas,Nevada,37.5,310568.0,313201.0,623769,127609.0,NV,American Indian and Alaska Native,8456
Victoria,Texas,35.8,32290.0,35291.0,67581,4480.0,TX,White,58798
Victoria,Texas,35.8,32290.0,35291.0,67581,4480.0,TX,Asian,2032
Anchorage,Alaska,32.2,152945.0,145750.0,298695,33258.0,AK,Hispanic or Latino,27261
San Diego,California,34.5,693826.0,701081.0,1394907,373842.0,CA,White,949388
Dayton,Ohio,32.8,66631.0,73966.0,140597,7381.0,OH,Asian,1885
Glendale,California,42.1,98181.0,102844.0,201025,111510.0,CA,White,146718
Anaheim,California,33.6,179603.0,171135.0,350738,137133.0,CA,Black or African-American,9775
Des Moines,Iowa,34.5,103726.0,106591.0,210317,23857.0,IA,Black or African-American,26353
Auburn,Washington,37.1,36837.0,39743.0,76580,14842.0,WA,Asian,12341
Peoria,Arizona,36.9,80139.0,91103.0,171242,14260.0,AZ,Hispanic or Latino,41129
Charlotte,North Carolina,34.3,396646.0,430475.0,827121,128897.0,NC,Hispanic or Latino,113731
Gulfport,Mississippi,35.1,33108.0,38764.0,71872,3072.0,MS,Black or African-American,27799
Abilene,Texas,31.3,65212.0,60664.0,125876,8129.0,TX,American Indian and Alaska Native,1813
Centreville,Virginia,36.0,34749.0,37033.0,71782,27797.0,VA,Asian,25058
Pleasanton,California,41.3,36662.0,42857.0,79519,23208.0,CA,Black or African-American,1919
Atlanta,Georgia,33.8,223960.0,239915.0,463875,32016.0,GA,Asian,24268
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,5274.0,MO,American Indian and Alaska Native,681
Westminster,California,42.9,45538.0,46573.0,92111,42227.0,CA,White,37593
Waterbury,Connecticut,36.2,52235.0,56572.0,108807,19967.0,CT,White,69075
Waterbury,Connecticut,36.2,52235.0,56572.0,108807,19967.0,CT,Black or African-American,26972
Davie,Florida,40.8,48754.0,52140.0,100894,26532.0,FL,American Indian and Alaska Native,464
Houston,Texas,32.6,1149686.0,1148942.0,2298628,696210.0,TX,Asian,173854
Concord,California,39.6,62310.0,66358.0,128668,37428.0,CA,White,92575
Eagan,Minnesota,36.8,31587.0,34701.0,66288,8642.0,MN,Hispanic or Latino,4328
Duluth,Minnesota,34.7,41271.0,44855.0,86126,2258.0,MN,Asian,1721
Ellicott City,Maryland,42.4,34406.0,36526.0,70932,17587.0,MD,American Indian and Alaska Native,396
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,34003.0,FL,Asian,7967
Greeley,Colorado,31.0,50792.0,50091.0,100883,11480.0,CO,White,92874
Ames,Iowa,23.0,33814.0,31238.0,65052,8606.0,IA,White,56157
West Jordan,Utah,30.8,57898.0,54044.0,111942,11492.0,UT,Hispanic or Latino,21315
Chico,California,29.9,46168.0,44168.0,90336,8425.0,CA,Hispanic or Latino,15578
Sioux City,Iowa,34.3,38827.0,43949.0,82776,7471.0,IA,Black or African-American,3994
Sioux City,Iowa,34.3,38827.0,43949.0,82776,7471.0,IA,American Indian and Alaska Native,1956
Washington,District of Columbia,33.8,319705.0,352523.0,672228,95117.0,DC,Hispanic or Latino,71129
Chino Hills,California,41.9,39639.0,38674.0,78313,24764.0,CA,Asian,28132
New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,19024.0,MA,White,63938
Avondale,Arizona,29.1,38712.0,41971.0,80683,8355.0,AZ,Hispanic or Latino,34716
San Bernardino,California,28.5,108671.0,107466.0,216137,55135.0,CA,Black or African-American,36393
Longmont,Colorado,36.8,43941.0,48280.0,92221,10424.0,CO,White,85853
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,22958.0,NE,White,246677
Pasco,Washington,28.6,35298.0,32799.0,68097,16265.0,WA,Asian,2215
Cincinnati,Ohio,32.7,143654.0,154883.0,298537,16896.0,OH,White,162245
New Braunfels,Texas,37.0,33071.0,36852.0,69923,5405.0,TX,Asian,1610
Escondido,California,33.3,76551.0,74907.0,151458,46298.0,CA,Asian,14398
Union City,New Jersey,35.4,35376.0,33773.0,69149,40553.0,NJ,Asian,4044
Fontana,California,29.5,100644.0,106828.0,207472,61448.0,CA,American Indian and Alaska Native,2656
Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,58321.0,WI,American Indian and Alaska Native,10813
Racine,Wisconsin,33.7,39314.0,38423.0,77737,4403.0,WI,White,52445
Santa Maria,California,30.1,53320.0,51762.0,105082,39192.0,CA,American Indian and Alaska Native,1575
Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,NV,Black or African-American,4226
Marysville,Washington,33.2,33436.0,33337.0,66773,7721.0,WA,Hispanic or Latino,7142
Inglewood,California,34.9,52995.0,58661.0,111656,34171.0,CA,Black or African-American,44991
Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,5404.0,IA,White,116851
German,Maryland,34.9,41115.0,43007.0,84122,27877.0,MD,Hispanic or Latino,18202
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,8827.0,CO,Asian,5650
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,32935.0,MA,Hispanic or Latino,2566
Spring Valley,Nevada,37.0,96808.0,97147.0,193955,61072.0,NV,Hispanic or Latino,40374
Tustin,California,33.4,39511.0,41052.0,80563,25034.0,CA,Asian,16074
Tustin,California,33.4,39511.0,41052.0,80563,25034.0,CA,American Indian and Alaska Native,538
Sioux City,Iowa,34.3,38827.0,43949.0,82776,7471.0,IA,Hispanic or Latino,15602
Kent,Washington,33.4,61825.0,65137.0,126962,38175.0,WA,Asian,26168
New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,19024.0,MA,Hispanic or Latino,18336
Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,101312.0,HI,Asian,240978
Richmond,California,35.3,52615.0,57100.0,109715,42215.0,CA,Black or African-American,27434
Deltona,Florida,39.9,44853.0,43621.0,88474,7098.0,FL,Hispanic or Latino,31357
Kissimmee,Florida,36.7,33283.0,35869.0,69152,16879.0,FL,Hispanic or Latino,44120
Springfield,Massachusetts,31.8,74744.0,79592.0,154336,16226.0,MA,Asian,5606
Springfield,Massachusetts,31.8,74744.0,79592.0,154336,16226.0,MA,American Indian and Alaska Native,2087
Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,13177.0,AR,Black or African-American,9851
San Bernardino,California,28.5,108671.0,107466.0,216137,55135.0,CA,Asian,12981
San Mateo,California,39.3,50966.0,52558.0,103524,34957.0,CA,White,62656
Fall River,Massachusetts,39.3,43314.0,45456.0,88770,14775.0,MA,Black or African-American,6389
Bellingham,Washington,30.7,41286.0,43857.0,85143,8713.0,WA,Asian,8010
Carmichael,California,41.0,29281.0,33934.0,63215,7378.0,CA,White,55862
Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,205339.0,PA,Black or African-American,691186
Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,7645.0,MN,Hispanic or Latino,1685
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,28187.0,PA,Asian,21227
Union City,New Jersey,35.4,35376.0,33773.0,69149,40553.0,NJ,Black or African-American,4686
